country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
BE,HIGH_CO2,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
CZ,HIGH_CO2,ttl_obs,260.02199999999993,186.2183349082259,-73.80366509177404,,INFORMATIVE,delta_interpretable
CZ,HIGH_CO2,tca_q95,235.95815789473687,203.7368421052632,-32.22131578947369,,INFORMATIVE,delta_interpretable
CZ,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_CO2,ttl_obs,283.7215,219.42732104511347,-64.29417895488652,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,tca_q95,280.9753684210526,203.7368421052632,-77.23852631578944,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_CO2,ttl_obs,214.73399999999992,167.97663412963345,-46.75736587036647,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,tca_q95,287.6926909090909,139.9090909090909,-147.7836,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
FR,HIGH_CO2,ttl_obs,413.99,184.209072320317,-229.780927679683,,INFORMATIVE,delta_interpretable
FR,HIGH_CO2,tca_q95,370.8396,139.9090909090909,-230.93050909090903,,INFORMATIVE,delta_interpretable
FR,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
IT_NORD,HIGH_CO2,ttl_obs,337.85399999999987,152.02781424463885,-185.82618575536105,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_CO2,tca_q95,285.85152727272725,139.9090909090909,-145.94243636363635,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_CO2,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
NL,HIGH_CO2,ttl_obs,276.7635,158.00285246053662,-118.76064753946336,,INFORMATIVE,delta_interpretable
NL,HIGH_CO2,tca_q95,285.85152727272725,139.9090909090909,-145.94243636363635,,INFORMATIVE,delta_interpretable
NL,HIGH_CO2,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
BE,HIGH_GAS,ttl_obs,294.49499999999983,163.04650320236055,-131.44849679763928,,INFORMATIVE,delta_interpretable
BE,HIGH_GAS,tca_q95,285.85152727272725,162.45454545454544,-123.3969818181818,,INFORMATIVE,delta_interpretable
BE,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
CZ,HIGH_GAS,ttl_obs,260.02199999999993,191.4165791068644,-68.60542089313552,,INFORMATIVE,delta_interpretable
CZ,HIGH_GAS,tca_q95,235.95815789473687,191.43421052631575,-44.52394736842109,,INFORMATIVE,delta_interpretable
CZ,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_GAS,ttl_obs,283.7215,224.63666227906964,-59.08483772093035,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,tca_q95,280.9753684210526,191.43421052631575,-89.54115789473684,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_GAS,ttl_obs,214.73399999999992,175.55564987795762,-39.1783501220423,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,tca_q95,287.6926909090909,162.45454545454544,-125.23814545454547,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
FR,HIGH_GAS,ttl_obs,413.99,191.81674864685388,-222.17325135314613,,INFORMATIVE,delta_interpretable
FR,HIGH_GAS,tca_q95,370.8396,162.45454545454544,-208.38505454545447,,INFORMATIVE,delta_interpretable
FR,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
IT_NORD,HIGH_GAS,ttl_obs,337.85399999999987,159.5973949683929,-178.25660503160697,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_GAS,tca_q95,285.85152727272725,162.45454545454544,-123.3969818181818,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_GAS,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
NL,HIGH_GAS,ttl_obs,276.7635,165.58249392710047,-111.18100607289948,,INFORMATIVE,delta_interpretable
NL,HIGH_GAS,tca_q95,285.85152727272725,162.45454545454544,-123.3969818181818,,INFORMATIVE,delta_interpretable
NL,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
BE,HIGH_BOTH,ttl_obs,294.49499999999983,149.5923061233486,-144.90269387665123,,INFORMATIVE,delta_interpretable
BE,HIGH_BOTH,tca_q95,285.85152727272725,180.8181818181818,-105.03334545454544,,INFORMATIVE,delta_interpretable
BE,HIGH_BOTH,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
CZ,HIGH_BOTH,ttl_obs,260.02199999999993,171.99049714983687,-88.03150285016306,,INFORMATIVE,delta_interpretable
CZ,HIGH_BOTH,tca_q95,235.95815789473687,236.30263157894737,0.3444736842104987,,INFORMATIVE,delta_interpretable
CZ,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_BOTH,ttl_obs,283.7215,205.3204350994656,-78.40106490053441,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,tca_q95,280.9753684210526,236.30263157894737,-44.67273684210525,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_BOTH,ttl_obs,214.73399999999992,162.1245619248363,-52.60943807516361,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,tca_q95,287.6926909090909,180.8181818181818,-106.8745090909091,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
FR,HIGH_BOTH,ttl_obs,413.99,178.36088679646616,-235.62911320353385,,INFORMATIVE,delta_interpretable
FR,HIGH_BOTH,tca_q95,370.8396,180.8181818181818,-190.02141818181812,,INFORMATIVE,delta_interpretable
FR,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
IT_NORD,HIGH_BOTH,ttl_obs,337.85399999999987,146.23632000246337,-191.6176799975365,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_BOTH,tca_q95,285.85152727272725,180.8181818181818,-105.03334545454544,,INFORMATIVE,delta_interpretable
IT_NORD,HIGH_BOTH,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
NL,HIGH_BOTH,ttl_obs,276.7635,152.230307331382,-124.53319266861796,,INFORMATIVE,delta_interpretable
NL,HIGH_BOTH,tca_q95,285.85152727272725,180.8181818181818,-105.03334545454544,,INFORMATIVE,delta_interpretable
NL,HIGH_BOTH,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
