scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,far_before_trivial,far_after_trivial,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,delta_h_negative,delta_h_below_5,baseload_price_before,baseload_price_after,capture_ratio_pv_before,capture_ratio_pv_after,capture_ratio_wind_before,capture_ratio_wind_after,delta_capture_ratio_pv,delta_capture_ratio_wind,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,wind_capture_price_before,wind_capture_price_after,days_spread_gt50_before,days_spread_gt50_after,avg_daily_spread_before,avg_daily_spread_after,low_residual_share_before,low_residual_share_after,sr_hours_share_before,sr_hours_share_after,ir_p10_before,ir_p10_after,turned_off_family_low_price,turned_off_family_physical,turned_off_family_value_pv,turned_off_family_value_wind,turned_off_family_any,revenue_bess_price_taker,soc_min,soc_max,soc_start_mwh,soc_end_mwh,soc_end_target_mwh,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,simultaneous_charge_discharge_hours,eta_roundtrip,eta_charge,eta_discharge,soc_boundary_mode,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,3000.0,6.0,1.0,1.0,False,False,457,75,756,111,-382.0,-645.0,78.51545827166116,78.02887259270331,0.5887752808034911,0.758451568923802,0.838449266989748,0.8883241907820999,0.169676288120311,0.0498749237923519,0.0,0.0,46.22796099131209,59.18112083929128,65.83122843523844,69.31493510355274,319,213,112.00633879781418,57.07788971352462,0.0925546448087431,0.0984744990892531,0.0757058287795992,0.0716074681238615,0.2263046487454366,0.2259989929431936,False,False,False,False,False,9180138.359888304,0.0,3000.0,0.0,0.0,0.0,500.0,500.0,254605.45725433916,224052.80238381843,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,500.0,6.0,3000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,4000.0,8.0,1.0,1.0,False,False,457,73,756,110,-384.0,-646.0,78.51545827166116,78.03603235283079,0.5887752808034911,0.758806497651112,0.838449266989748,0.8884028838194118,0.1700312168476209,0.0499536168296638,0.0,0.0,46.22796099131209,59.21424840024039,65.83122843523844,69.32743618407979,319,213,112.00633879781418,57.042432466006105,0.0925546448087431,0.0987021857923497,0.0757058287795992,0.071379781420765,0.2263046487454366,0.2259989929431936,False,False,False,False,False,10579509.924080726,0.0,4000.0,0.0,0.0,0.0,500.0,500.0,288788.79184544884,254134.13682399504,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,500.0,8.0,4000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,1500.0,2.0,1.0,1.0,False,False,457,84,756,128,-373.0,-628.0,78.51545827166116,78.01230559415178,0.5887752808034911,0.7574169524194229,0.838449266989748,0.8881395517112232,0.1686416716159318,0.0496902847214751,0.0,0.0,46.22796099131209,59.087842754335135,65.83122843523844,69.28581411834891,319,214,112.00633879781418,57.27708693775789,0.0925546448087431,0.0994990892531876,0.0757058287795992,0.0709244080145719,0.2263046487454366,0.2262967082422165,False,False,False,False,False,3166292.720982765,0.0,1500.0,0.0,0.0,0.0,750.0,750.0,164743.38313576172,144974.1771594703,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,750.0,2.0,1500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,3000.0,4.0,1.0,1.0,False,False,457,75,756,114,-382.0,-642.0,78.51545827166116,78.03955159112212,0.5887752808034911,0.7589953566541479,0.838449266989748,0.8883382198682721,0.1702200758506568,0.0498889528785241,0.0,0.0,46.22796099131209,59.23165729303351,65.83122843523844,69.3255163397756,319,212,112.00633879781418,56.91965411735831,0.0925546448087431,0.1008652094717668,0.0757058287795992,0.0696721311475409,0.2263046487454366,0.2260953558033155,False,False,False,False,False,9166553.441455886,0.0,3000.0,0.0,0.0,0.0,750.0,750.0,292688.135472005,257565.5592153644,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,750.0,4.0,3000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,4500.0,6.0,1.0,1.0,False,False,457,66,756,103,-391.0,-653.0,78.51545827166116,78.05484134732912,0.5887752808034911,0.759965254500837,0.838449266989748,0.8884741461936436,0.1711899736973459,0.0500248792038956,0.0,0.0,46.22796099131209,59.31896736954543,65.83122843523844,69.34970852234855,319,212,112.00633879781418,56.75008636898411,0.0925546448087431,0.1015482695810564,0.0757058287795992,0.0692167577413479,0.2263046487454366,0.2259622440441601,False,False,False,False,False,13217168.525906565,0.0,4500.0,0.0,0.0,0.0,750.0,750.0,377028.0597450074,331784.6925756065,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,750.0,6.0,4500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,6000.0,8.0,1.0,1.0,False,False,457,64,756,101,-393.0,-655.0,78.51545827166116,78.06532194484582,0.5887752808034911,0.760491373092298,0.838449266989748,0.8885882816760222,0.1717160922888069,0.0501390146862742,0.0,0.0,46.22796099131209,59.368003876728096,65.83122843523844,69.36793028545601,319,212,112.00633879781418,56.70104147004245,0.0925546448087431,0.1018897996357012,0.0757058287795992,0.0688752276867031,0.2263046487454366,0.2259560737162719,False,False,False,False,False,15190015.620101426,0.0,6000.0,0.0,0.0,0.0,750.0,750.0,427164.82851833664,375905.0490961362,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,750.0,8.0,6000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,2000.0,2.0,1.0,1.0,False,False,457,83,756,126,-374.0,-630.0,78.51545827166116,78.02358788523901,0.5887752808034911,0.7580414973904569,0.838449266989748,0.8881864724030287,0.1692662165869658,0.0497372054132807,0.0,0.0,46.22796099131209,59.145117392302495,65.83122843523844,69.29949528801812,319,214,112.00633879781418,57.157924933596426,0.0925546448087431,0.1023451730418943,0.0757058287795992,0.0685336976320582,0.2263046487454366,0.2263052273943787,False,False,False,False,False,3963839.749855203,0.0,2000.0,0.0,0.0,0.0,1000.0,1000.0,216504.3821810156,190523.85631929376,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,1000.0,2.0,2000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,4000.0,4.0,1.0,1.0,False,False,457,71,756,109,-386.0,-647.0,78.51545827166116,78.06000835598337,0.5887752808034911,0.7601842023157712,0.838449266989748,0.8884404685631129,0.1714089215122801,0.0499912015733648,0.0,0.0,46.22796099131209,59.33998518485566,65.83122843523844,69.35167039983037,319,212,112.00633879781418,56.667943306295015,0.0925546448087431,0.1041666666666666,0.0757058287795992,0.0668260473588342,0.2263046487454366,0.2261115752389469,False,False,False,False,False,11696000.193174217,0.0,4000.0,0.0,0.0,0.0,1000.0,1000.0,384634.8194626733,338478.6411271525,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,1000.0,4.0,4000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,6000.0,6.0,1.0,1.0,False,False,457,59,756,97,-398.0,-659.0,78.51545827166116,78.08100997214575,0.5887752808034911,0.7615192672902305,0.838449266989748,0.888617644418266,0.1727439864867394,0.0501683774285179,0.0,0.0,46.22796099131209,59.46019350326961,65.83122843523844,69.3841631552473,319,212,112.00633879781418,56.41924502560827,0.0925546448087431,0.1048497267759562,0.0757058287795992,0.0662568306010929,0.2263046487454366,0.2259989929431936,False,False,False,False,False,16897819.366154637,0.0,6000.0,0.0,0.0,0.0,1000.0,1000.0,495518.9844810099,436056.7063432888,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,1000.0,6.0,6000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,8000.0,8.0,1.0,1.0,False,False,457,56,756,95,-401.0,-661.0,78.51545827166116,78.09437618103617,0.5887752808034911,0.7622091053284358,0.838449266989748,0.8887609244957085,0.1734338245249447,0.0503116575059605,0.0,0.0,46.22796099131209,59.52424460012988,65.83122843523844,69.40722997257335,319,212,112.00633879781418,56.36055371051226,0.0925546448087431,0.1055327868852459,0.0757058287795992,0.0655737704918032,0.2263046487454366,0.2259989929431936,False,False,False,False,False,19337750.68321312,0.0,8000.0,0.0,0.0,0.0,1000.0,1000.0,559750.1403454489,492580.123503995,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,1000.0,8.0,8000.0
