scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,baseload_price_before,capture_ratio_pv_before,capture_ratio_pv_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,3000.0,6.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,177231.19616797904,0.0,966.998209110974,0.0,500.0,0.0,1407.124727947029,1407.124727947029,v2.1.1,0.1968109999997978,True,500.0,6.0,3000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,4000.0,8.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,236248.76708129863,0.0,1466.998209110974,0.0,500.0,0.0,1876.166303929372,1876.166303929372,v2.1.1,0.1968109999997978,True,500.0,8.0,4000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,1500.0,2.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,88745.17731000697,0.0,0.0,0.0,703.5623639735145,0.0,703.5623639735145,703.5623639735145,v2.1.1,0.1968109999997978,True,750.0,2.0,1500.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,3000.0,4.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,177296.63423600676,0.0,700.4973136664609,0.0,750.0,0.0,1407.124727947029,1407.124727947029,v2.1.1,0.1968109999997978,True,750.0,4.0,3000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,4500.0,6.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,265846.7942519685,0.0,1450.4973136664607,0.0,750.0,0.0,2110.687091920543,2110.6870919205435,v2.1.1,0.1968109999997978,True,750.0,6.0,4500.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,6000.0,8.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,354373.15062194795,0.0,2200.4973136664607,0.0,750.0,0.0,2814.249455894057,2814.249455894058,v2.1.1,0.1968109999997978,True,750.0,8.0,6000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1000.0,2000.0,2.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,118326.90308000927,0.0,0.0,0.0,938.083151964686,0.0,938.083151964686,938.083151964686,v2.1.1,0.1968109999997978,True,1000.0,2.0,2000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1000.0,4000.0,4.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,236395.51231467573,0.0,933.9964182219478,0.0,1000.0,0.0,1876.166303929372,1876.166303929372,v2.1.1,0.1968109999997978,True,1000.0,4.0,4000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1000.0,6000.0,6.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,354462.3923359581,0.0,1933.996418221948,0.0,1000.0,0.0,2814.249455894058,2814.249455894058,v2.1.1,0.1968109999997978,True,1000.0,6.0,6000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1000.0,8000.0,8.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,472497.5341625973,0.0,2933.996418221948,0.0,1000.0,0.0,3752.332607858744,3752.332607858744,v2.1.1,0.1968109999997978,True,1000.0,8.0,8000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1500.0,3000.0,2.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,177490.35462001394,0.0,0.0,0.0,1407.124727947029,0.0,1407.124727947029,1407.124727947029,v2.1.1,0.1968109999997978,True,1500.0,2.0,3000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1500.0,6000.0,4.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,354593.2684720136,0.0,1400.9946273329217,0.0,1500.0,0.0,2814.249455894058,2814.249455894058,v2.1.1,0.1968109999997978,True,1500.0,4.0,6000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1500.0,9000.0,6.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,531693.588503937,0.0,2900.994627332921,0.0,1500.0,0.0,4221.374183841086,4221.374183841087,v2.1.1,0.1968109999997978,True,1500.0,6.0,9000.0
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,1500.0,12000.0,8.0,1.0,1.0,0,0,0,0,143.20898183105652,0.9654348996582968,0.9654348996582968,0.0,0.0,138.25894900423287,138.25894900423287,708746.3012438959,0.0,4400.9946273329215,0.0,1500.0,0.0,5628.498911788115,5628.498911788116,v2.1.1,0.1968109999997978,True,1500.0,8.0,12000.0
HIGH_CO2,ES,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0,0,0,0,104.12992291507832,0.929952756488147,0.929952756488147,0.0,0.0,96.83590884777534,96.83590884777534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.1945883999997022,True,0.0,2.0,0.0
HIGH_CO2,ES,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,1.0,1.0,0,0,0,0,104.12992291507832,0.929952756488147,0.929952756488147,0.0,0.0,96.83590884777534,96.83590884777534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.1945883999997022,True,0.0,4.0,0.0
